ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.43634,1.94708,9.77612,0.14674,-0.13822,-0.09428,9109,2016-04-03 23:59:08:254
-0.43634,1.94708,9.77612,0.14674,-0.13822,-0.09428,9210,2016-04-03 23:59:08:355
-0.18555,1.96325,9.30327,0.17364,-0.16751,-0.25407,9309,2016-04-03 23:59:08:454
0.05926,2.34213,9.44094,0.03063,-0.15446,-0.13156,9409,2016-04-03 23:59:08:554
0.15682,-0.1257,4.39935,0.00133,-1.02132,-0.74276,9509,2016-04-03 23:59:08:654
-0.38966,1.7352,10.87626,0.89749,-1.60322,-2.68367,9609,2016-04-03 23:59:08:754
4.36403,2.79224,10.45847,1.2184,-0.61972,-1.17605,9709,2016-04-03 23:59:08:854
4.36403,2.79224,10.45847,1.2184,-0.61972,-1.17605,9809,2016-04-03 23:59:08:954
0.24062,4.76805,4.92727,1.35981,-0.84555,-1.24876,9909,2016-04-03 23:59:09:054
1.07739,6.23809,6.39551,0.41386,-0.65407,-1.7441,10009,2016-04-03 23:59:09:154
-1.1558,5.54018,6.73728,-1.36727,-1.71108,-0.29934,10110,2016-04-03 23:59:09:255
1.87885,2.25594,9.48583,-1.96461,1.32918,-1.42452,10210,2016-04-03 23:59:09:355
-1.68432,2.33973,9.52832,-0.58563,-1.01759,0.42637,10310,2016-04-03 23:59:09:455
-1.68432,2.33973,9.52832,-0.58563,-1.01759,0.42637,10409,2016-04-03 23:59:09:554
0.33399,1.62566,10.14543,-1.40056,1.48152,0.13422,10509,2016-04-03 23:59:09:654
3.03944,-0.55845,13.05199,-0.29748,-1.08657,0.1281,10609,2016-04-03 23:59:09:754
1.38026,0.36751,10.21785,0.759,-2.19897,-0.57258,10710,2016-04-03 23:59:09:855
0.64643,0.27653,10.47344,0.66872,-2.71483,-0.64475,10809,2016-04-03 23:59:09:954
8.67539,3.43748,7.16525,0.87112,-1.06766,0.41119,10914,2016-04-03 23:59:10:059
7.55909,1.93332,6.96832,-0.95341,-0.09534,1.02132,11010,2016-04-03 23:59:10:155
7.55909,1.93332,6.96832,-0.95341,-0.09534,1.02132,11109,2016-04-03 23:59:10:254
6.20398,1.05046,3.52307,0.16538,0.66712,0.24634,11209,2016-04-03 23:59:10:354
7.3502,0.98821,6.1094,-0.09507,1.31747,0.28975,11309,2016-04-03 23:59:10:454
6.94917,0.97264,7.70813,-0.05113,1.76115,0.53237,11409,2016-04-03 23:59:10:554
6.19979,0.4555,7.94695,-0.05113,1.76115,0.53237,11509,2016-04-03 23:59:10:654
6.19979,0.4555,7.94695,-0.05113,1.76115,0.53237,11609,2016-04-03 23:59:10:754
6.19979,0.4555,7.94695,-0.05113,1.76115,0.53237,11709,2016-04-03 23:59:10:854
6.19979,0.4555,7.94695,-0.05113,1.76115,0.53237,11809,2016-04-03 23:59:10:954
6.19979,0.4555,7.94695,-0.05113,1.76115,0.53237,11909,2016-04-03 23:59:11:054
3.99113,0.02095,9.14166,-0.58243,1.19949,-0.36112,12009,2016-04-03 23:59:11:154
0.42916,-1.80762,9.75817,-0.58243,1.19949,-0.36112,12109,2016-04-03 23:59:11:254
